converged,iterations,final_psi,displacement,hpwl_before,hpwl_after,psi_init,psi_incr,circuit,mode
False,,,,,,0.5,0.1,cct2.txt,ho
True,46.0,11.75,3512.0,17056.5,29659.27,0.5,0.25,cct2.txt,ho
True,24.0,12.0,3526.0,17056.5,29601.39,0.5,0.5,cct2.txt,ho
True,12.0,11.5,3573.0,17056.5,29794.65,0.5,1.0,cct2.txt,ho
True,7.0,12.5,3590.0,17056.5,29559.34,0.5,2.0,cct2.txt,ho
True,5.0,12.5,3669.0,17056.5,29932.53,0.5,3.0,cct2.txt,ho
True,4.0,12.5,3669.0,17056.5,29585.15,0.5,4.0,cct2.txt,ho
False,,,,,,1.0,0.1,cct2.txt,ho
True,44.0,11.75,3512.0,17056.5,29659.27,1.0,0.25,cct2.txt,ho
True,23.0,12.0,3526.0,17056.5,29601.39,1.0,0.5,cct2.txt,ho
True,12.0,12.0,3540.0,17056.5,29560.21,1.0,1.0,cct2.txt,ho
True,7.0,13.0,3563.0,17056.5,29591.35,1.0,2.0,cct2.txt,ho
True,5.0,13.0,3640.0,17056.5,29687.15,1.0,3.0,cct2.txt,ho
True,4.0,13.0,3647.0,17056.5,29582.02,1.0,4.0,cct2.txt,ho
True,99.0,11.8,3530.0,17056.5,29595.09,2.0,0.1,cct2.txt,ho
True,40.0,11.75,3518.0,17056.5,29608.54,2.0,0.25,cct2.txt,ho
True,21.0,12.0,3530.0,17056.5,29603.6,2.0,0.5,cct2.txt,ho
True,11.0,12.0,3544.0,17056.5,29556.25,2.0,1.0,cct2.txt,ho
True,6.0,12.0,3562.0,17056.5,29728.1,2.0,2.0,cct2.txt,ho
True,5.0,14.0,3616.0,17056.5,29603.79,2.0,3.0,cct2.txt,ho
True,4.0,14.0,3684.0,17056.5,29596.18,2.0,4.0,cct2.txt,ho
True,79.0,11.8,3547.0,17056.5,29345.81,4.0,0.1,cct2.txt,ho
True,32.0,11.75,3540.0,17056.5,29349.49,4.0,0.25,cct2.txt,ho
True,17.0,12.0,3545.0,17056.5,29331.24,4.0,0.5,cct2.txt,ho
True,9.0,12.0,3563.0,17056.5,29348.94,4.0,1.0,cct2.txt,ho
True,5.0,12.0,3576.0,17056.5,29352.23,4.0,2.0,cct2.txt,ho
True,4.0,13.0,3648.0,17056.5,29497.19,4.0,3.0,cct2.txt,ho
True,3.0,12.0,3646.0,17056.5,29429.59,4.0,4.0,cct2.txt,ho
True,58.0,11.7,3635.0,17056.5,29590.2,6.0,0.1,cct2.txt,ho
True,24.0,11.75,3630.0,17056.5,29613.04,6.0,0.25,cct2.txt,ho
True,13.0,12.0,3630.0,17056.5,29553.74,6.0,0.5,cct2.txt,ho
True,7.0,12.0,3640.0,17056.5,29535.89,6.0,1.0,cct2.txt,ho
True,4.0,12.0,3668.0,17056.5,29660.93,6.0,2.0,cct2.txt,ho
True,3.0,12.0,3687.0,17056.5,29673.44,6.0,3.0,cct2.txt,ho
True,3.0,14.0,3718.0,17056.5,29864.45,6.0,4.0,cct2.txt,ho
True,42.0,12.1,3732.0,17056.5,29672.77,8.0,0.1,cct2.txt,ho
True,17.0,12.0,3730.0,17056.5,29585.05,8.0,0.25,cct2.txt,ho
True,9.0,12.0,3730.0,17056.5,29618.27,8.0,0.5,cct2.txt,ho
True,5.0,12.0,3732.0,17056.5,29768.14,8.0,1.0,cct2.txt,ho
True,3.0,12.0,3730.0,17056.5,29765.37,8.0,2.0,cct2.txt,ho
True,3.0,14.0,3733.0,17056.5,29691.72,8.0,3.0,cct2.txt,ho
True,2.0,12.0,3728.0,17056.5,29684.88,8.0,4.0,cct2.txt,ho
True,13.0,11.2,3780.0,17056.5,29451.68,10.0,0.1,cct2.txt,ho
True,6.0,11.25,3779.0,17056.5,29474.32,10.0,0.25,cct2.txt,ho
True,4.0,11.5,3779.0,17056.5,29458.11,10.0,0.5,cct2.txt,ho
True,3.0,12.0,3787.0,17056.5,29481.16,10.0,1.0,cct2.txt,ho
True,2.0,12.0,3786.0,17056.5,29491.74,10.0,2.0,cct2.txt,ho
True,2.0,13.0,3786.0,17056.5,29491.74,10.0,3.0,cct2.txt,ho
True,2.0,14.0,3786.0,17056.5,29491.74,10.0,4.0,cct2.txt,ho
