converged,iterations,final_psi,displacement,hpwl_before,hpwl_after,psi_init,psi_incr,circuit,mode
False,,,,,,0.5,0.1,cct3.txt,he
True,67.0,17.0,11961.0,12610.27,14561.6,0.5,0.25,cct3.txt,he
True,34.0,17.0,11977.0,12610.27,14555.98,0.5,0.5,cct3.txt,he
True,18.0,17.5,12015.0,12610.27,14531.42,0.5,1.0,cct3.txt,he
True,10.0,18.5,12068.0,12610.27,14552.43,0.5,2.0,cct3.txt,he
True,7.0,18.5,12092.0,12610.27,14547.3,0.5,3.0,cct3.txt,he
True,6.0,20.5,12163.0,12610.27,14523.59,0.5,4.0,cct3.txt,he
False,,,,,,1.0,0.1,cct3.txt,he
True,65.0,17.0,11961.0,12610.27,14561.6,1.0,0.25,cct3.txt,he
True,33.0,17.0,11977.0,12610.27,14555.98,1.0,0.5,cct3.txt,he
True,17.0,17.0,12011.0,12610.27,14554.43,1.0,1.0,cct3.txt,he
True,9.0,17.0,12054.0,12610.27,14547.27,1.0,2.0,cct3.txt,he
True,7.0,19.0,12109.0,12610.27,14526.26,1.0,3.0,cct3.txt,he
True,5.0,17.0,12141.0,12610.27,14543.98,1.0,4.0,cct3.txt,he
False,,,,,,2.0,0.1,cct3.txt,he
True,61.0,17.0,11967.0,12610.27,14561.56,2.0,0.25,cct3.txt,he
True,31.0,17.0,11977.0,12610.27,14552.24,2.0,0.5,cct3.txt,he
True,16.0,17.0,12007.0,12610.27,14530.09,2.0,1.0,cct3.txt,he
True,9.0,18.0,12039.0,12610.27,14538.57,2.0,2.0,cct3.txt,he
True,6.0,17.0,12098.0,12610.27,14524.89,2.0,3.0,cct3.txt,he
True,5.0,18.0,12128.0,12610.27,14507.45,2.0,4.0,cct3.txt,he
False,,,,,,4.0,0.1,cct3.txt,he
True,53.0,17.0,11985.0,12610.27,14562.72,4.0,0.25,cct3.txt,he
True,27.0,17.0,12005.0,12610.27,14544.42,4.0,0.5,cct3.txt,he
True,14.0,17.0,12033.0,12610.27,14540.76,4.0,1.0,cct3.txt,he
True,8.0,18.0,12057.0,12610.27,14532.43,4.0,2.0,cct3.txt,he
True,6.0,19.0,12116.0,12610.27,14535.76,4.0,3.0,cct3.txt,he
True,5.0,20.0,12153.0,12610.27,14505.12,4.0,4.0,cct3.txt,he
False,,,,,,6.0,0.1,cct3.txt,he
True,45.0,17.0,12025.0,12610.27,14550.76,6.0,0.25,cct3.txt,he
True,23.0,17.0,12035.0,12610.27,14537.91,6.0,0.5,cct3.txt,he
True,12.0,17.0,12061.0,12610.27,14544.09,6.0,1.0,cct3.txt,he
True,7.0,18.0,12070.0,12610.27,14503.88,6.0,2.0,cct3.txt,he
True,5.0,18.0,12114.0,12610.27,14518.72,6.0,3.0,cct3.txt,he
True,4.0,18.0,12140.0,12610.27,14531.29,6.0,4.0,cct3.txt,he
True,92.0,17.1,12089.0,12610.27,14534.66,8.0,0.1,cct3.txt,he
True,37.0,17.0,12093.0,12610.27,14538.48,8.0,0.25,cct3.txt,he
True,19.0,17.0,12101.0,12610.27,14551.21,8.0,0.5,cct3.txt,he
True,10.0,17.0,12105.0,12610.27,14516.64,8.0,1.0,cct3.txt,he
True,6.0,18.0,12082.0,12610.27,14552.39,8.0,2.0,cct3.txt,he
True,4.0,17.0,12130.0,12610.27,14478.8,8.0,3.0,cct3.txt,he
True,4.0,20.0,12171.0,12610.27,14538.85,8.0,4.0,cct3.txt,he
True,72.0,17.1,12139.0,12610.27,14549.63,10.0,0.1,cct3.txt,he
True,29.0,17.0,12137.0,12610.27,14556.14,10.0,0.25,cct3.txt,he
True,15.0,17.0,12131.0,12610.27,14543.27,10.0,0.5,cct3.txt,he
True,8.0,17.0,12133.0,12610.27,14540.84,10.0,1.0,cct3.txt,he
True,5.0,18.0,12124.0,12610.27,14516.44,10.0,2.0,cct3.txt,he
True,4.0,19.0,12188.0,12610.27,14519.49,10.0,3.0,cct3.txt,he
True,3.0,18.0,12176.0,12610.27,14519.85,10.0,4.0,cct3.txt,he
